Era,Validator,EraPoints,TotalStake,OwnStake,NominatedStake,NomCount,PageCount,CommissionRate,Blocked,CommissionEarned,OwnReward,TotalReward
24,5DV2JzUUAwZmki7252RHG2iTUopagA7qXMhn1XfPMRef5AnF,720,100002.02281782144798078,100002.02281782144798078,0E-17,0,0,0.01,False,23.2348470175484797212526527569,2300.24985473729944403677112444,2323.48470175484792375802377720
24,5CvcAQDm95CRYbEjExhMxehD6x2ciAWZKap5bHNHfVn8sEn6,820,100001.02281759315954,100001.02281759315954,0E-14,0,0,0.05,False,132.309545516595516118781435684,2513.88136481531465936374346778,2646.19091033191017548252490346
24,5EPJiRqrnCxFi64PtQsKvnQsizJi7YBtyiH4rqMFQnjScpeC,600,100001.02281759315954,100001.02281759315954,0E-14,0,0,0.01,False,19.3623725146237331010438772973,1916.87487894774953669730927036,1936.23725146237326979835314766
24,5EFs6TqF2knsBtEC6gr5F1cV85N9hkkb2MFuzbEf9zmNMnNV,620,100001.02281759315954,100001.02281759315954,0E-14,0,0,0.17,False,340.132343840223588680112703967,1660.64614933756208335340994696,2000.77849317778567203352265093
24,5FePDUcYYGoweDrNC3E7DLbToBo7tEoaCMswgxZk1qkdQZuC,680,100001.0228165932191576,100001.0228165932191576,0E-16,0,0,0.1,False,219.440221832402324110147817426,1974.96199649162079517753695324,2194.40221832402311928768477067
24,5HVTK6JphLAZnBMUNHQB7CNz32ouwszzxnPtEFazn5Ab1wtk,560,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.05,False,90.3577384015774282822627883809,1716.79702962997103704575135275,1807.15476803154846532801414113
24,5DUxybzfWfXceQyEtzunyYahcY7ex7zQutmPUN61AWZEJL8S,600,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.05,False,96.8118625731186688640556016591,1839.42538888925460093429754600,1936.23725146237326979835314766
24,5DRvxhDfrUX7C7poA4EP224FEHDy8dt9C7ZkvQ3zAE8FrYhC,820,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.03,False,79.3857273099573023266136708995,2566.80518302195287315591123256,2646.19091033191017548252490346
24,5DPzoTT2NsPb2u5YNkvCmrW55Hv49qzczqD8D78scqsWk6x8,640,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.1,False,206.531973489319818891696829875,1858.78776140387825537699532432,2065.31973489319807426869215420
24,5Fuedf79TqB6mMWzhu8aazzfPX1mawedb7rLuHpv6iYK2Z6c,760,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.1,False,245.256718518567286437319070539,2207.31046666710544179104371319,2452.56718518567272822836278373
24,5HHLvXQtjt189Af5qNxHJ9nVTgYWGEhFx9mWr85XafaDnNNR,760,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.01,False,24.5256718518567277928267325435,2428.04151333381600043553605119,2452.56718518567272822836278373
24,5HeKqnsbwnfgAzKFBBwk3dmDuEue4XGJQoxcHnHcYqSCeJAX,500,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.05,False,80.6765521442655553821408879668,1532.85449074104546269171113343,1613.53104288531101807385202140
24,5HghRynFYLgLJccyXhEfBcmtxGvkr6kok2ewNKr2yRdP8YxM,700,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.1,False,225.894346003943540637075269710,2033.04911403549174033712539428,2258.94346003943528097420066399
24,5HostXbk5r1smXVvYUYVNiQCsg39NqRwix4FdVVFLB5UdTSz,800,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.01,False,25.8164966861649758644008123301,2555.83317193033255683430097792,2581.64966861649753269870179025
24,5Cvfrt7pNqfrpTSMrewUdd7n4W9x9DPhxmmEBcDkS9iSbuD2,840,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.01,False,27.1073215204732239359748921168,2683.62483052684911323306590466,2710.73215204732233716904079678
24,5DtTjsDx6NXtni43VFFZkrEqfpyFnZDJ2MhwpgGJWrUejV29,520,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.1,False,167.807228460072351346074589211,1510.26505614065106896294693545,1678.07228460072342030902152466
24,5DoTq9B54HiyqdKrjhtqXsFW4GkWsqzjNHeJqY1rV7ceJsnk,800,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.05,False,129.082483430824883800452348547,2452.56718518567264889824944170,2581.64966861649753269870179025
24,5G8yNuyXhxy8RJiwTrfYRRx4pXHwxg1258QjXUmYrkj7iETu,560,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.1,False,180.715476803154856564525576762,1626.43929122839360876348856437,1807.15476803154846532801414113
24,5DvVCG3UgyTn433oiLuFpSrwB4jLSN1H2vk3YrQDbWSN71sx,800,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.01,False,25.8164966861649758644008123301,2555.83317193033255683430097792,2581.64966861649753269870179025
24,5DyrSBNDRo6oaW4QPisptTYAoK6fsZovbQoxpE8L8ftCfd1n,620,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.1,False,200.077849317778578309904016597,1800.70064386000709372361863433,2000.77849317778567203352265093
24,5H1iwroF7kRu2tmXSsPXUx4uMa5k2sjjZVp2UaYPdVhgLjSH,880,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.01,False,28.3981463547814768185220441024,2811.41648912336614591816497910,2839.81463547814762273668702320
24,5E2dV3dk5CuvNMXiaYq2UZ56JBEEX5jjHihZNaq8ZPRFttUA,780,100000.02281736541454508,100000.02281736541454508,0E-17,0,0,0.01,False,25.1710842690108542341003085362,2491.93734263207451677808558839,2517.10842690108537101218589693
